Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
156,Exit long,2024-12-27 12:00,Sell signal — close long,94458.22,28.221652,2804208.327,-140629.3,-5.01,2187.99,13234.11,0.47,-154773.9,-5.52,1663651.5,166.37,10
156,Entry long,2024-12-25 20:00,Buy,99363.72,28.221652,2804208.327,-140629.3,-5.01,2187.99,13234.11,0.47,-154773.9,-5.52,1663651.5,166.37,10
157,Exit short,2025-01-02 08:00,Buy signal — close short,96531.98,28.19927,2663652.849,-60632.83,-2.28,2154.31,85784.06,3.22,-63520.36,-2.38,1603018.6,160.30,35
157,Entry short,2024-12-27 12:00,Sell,94458.22,28.19927,2663652.849,-60632.83,-2.28,2154.31,85784.06,3.22,-63520.36,-2.38,1603018.6,160.30,35
158,Exit long,2025-01-07 12:00,Sell signal — close long,97992.75,26.965849,2603066.796,37292.7,1.43,2098.21,165788.94,6.37,-21629.38,-0.83,1640311.4,164.03,31
158,Entry long,2025-01-02 08:00,Buy,96531.98,26.965849,2603066.796,37292.7,1.43,2098.21,165788.94,6.37,-21629.38,-0.83,1640311.4,164.03,31
159,Exit short,2025-01-14 08:00,Buy signal — close short,96507.64,26.943959,2640312.638,37918.5,1.44,2096.24,233320.22,8.83,-11436.28,-0.43,1678229.9,167.82,41
159,Entry short,2025-01-07 12:00,Sell,97992.75,26.943959,2640312.638,37918.5,1.44,2096.24,233320.22,8.83,-11436.28,-0.43,1678229.9,167.82,41
160,Exit long,2025-01-27 00:00,Sell signal — close long,101354.24,27.751162,2678199.152,132302.42,4.94,2196.36,356607.62,13.31,-33965.01,-1.27,1810532.2,181.05,76
160,Entry long,2025-01-14 08:00,Buy,96507.64,27.751162,2678199.152,132302.42,4.94,2196.36,356607.62,13.31,-33965.01,-1.27,1810532.2,181.05,76
161,Exit short,2025-01-29 16:00,Buy signal — close short,103515.53,27.729808,2810533.615,-62204.55,-2.21,2272.4,98554.19,3.51,-71118.69,-2.53,1748327.8,174.83,16
161,Entry short,2025-01-27 00:00,Sell,101354.24,27.729808,2810533.615,-62204.55,-2.21,2272.4,98554.19,3.51,-71118.69,-2.53,1748327.8,174.83,16
162,Exit long,2025-02-01 20:00,Sell signal — close long,100607.45,26.550384,2748377.071,-79378.46,-2.89,2167.82,76040.13,2.77,-87571.56,-3.19,1668949.2,166.89,19
162,Entry long,2025-01-29 16:00,Buy,103515.53,26.550384,2748377.071,-79378.46,-2.89,2167.82,76040.13,2.77,-87571.56,-3.19,1668949.2,166.89,19
163,Exit short,2025-02-03 16:00,Buy signal — close short,101854.74,26.52836,2668950.652,-35236.95,-1.32,2148.4,246741.53,9.24,-34156.14,-1.28,1633712.2,163.37,11
163,Entry short,2025-02-01 20:00,Sell,100607.45,26.52836,2668950.652,-35236.95,-1.32,2148.4,246741.53,9.24,-34156.14,-1.28,1633712.2,163.37,11
164,Exit long,2025-02-11 16:00,Sell signal — close long,95059.22,25.857806,2633740.107,-177753.94,-6.75,2036.71,13909.64,0.53,-185054.55,-7.02,1455958.4,145.60,48
164,Entry long,2025-02-03 16:00,Buy,101854.74,25.857806,2633740.107,-177753.94,-6.75,2036.71,13909.64,0.53,-185054.55,-7.02,1455958.4,145.60,48
165,Exit short,2025-02-20 16:00,Buy signal — close short,98416.45,25.836101,2455959.609,-88737.19,-3.61,1999.46,42230.82,1.72,-98489.64,-4.01,1367221.1,136.72,54
165,Entry short,2025-02-11 16:00,Sell,95059.22,25.836101,2455959.609,-88737.19,-3.61,1999.46,42230.82,1.72,-98489.64,-4.01,1367221.1,136.72,54
166,Exit long,2025-02-21 16:00,Sell signal — close long,95298.96,24.053822,2367291.77,-76851.39,-3.25,1863.84,25013.65,1.06,-76745.32,-3.24,1290369.8,129.04,6
166,Entry long,2025-02-20 16:00,Buy,98416.45,24.053822,2367291.77,-76851.39,-3.25,1863.84,25013.65,1.06,-76745.32,-3.24,1290369.8,129.04,6
